date,equity,cash,n_positions,exposure,drawdown
2023-11-06,104919.13002928889,104919.13002928889,0,0.0,0.08679534155204836
2023-11-07,104919.13002928889,104919.13002928889,0,0.0,0.08679534155204836
2023-11-08,104919.13002928889,104919.13002928889,0,0.0,0.08679534155204836
2023-11-09,104919.13002928889,104919.13002928889,0,0.0,0.08679534155204836
2023-11-10,104919.13002928889,104919.13002928889,0,0.0,0.08679534155204836
2023-11-11,104919.13002928889,104919.13002928889,0,0.0,0.08679534155204836
2023-11-12,104919.13002928889,104919.13002928889,0,0.0,0.08679534155204836
2023-11-13,104919.13002928889,104919.13002928889,0,0.0,0.08679534155204836
2023-11-14,104919.13002928889,104919.13002928889,0,0.0,0.08679534155204836
2023-11-15,104919.13002928889,104919.13002928889,0,0.0,0.08679534155204836
2023-11-16,104919.13002928889,104919.13002928889,0,0.0,0.08679534155204836
2023-11-17,104919.13002928889,104919.13002928889,0,0.0,0.08679534155204836
2023-11-18,104919.13002928889,104919.13002928889,0,0.0,0.08679534155204836
2023-11-19,104919.13002928889,104919.13002928889,0,0.0,0.08679534155204836
2023-11-20,104919.13002928889,104919.13002928889,0,0.0,0.08679534155204836
2023-11-21,104919.13002928889,104919.13002928889,0,0.0,0.08679534155204836
2023-11-22,104919.13002928889,104919.13002928889,0,0.0,0.08679534155204836
2023-11-23,104919.13002928889,104919.13002928889,0,0.0,0.08679534155204836
2023-11-24,104919.13002928889,104919.13002928889,0,0.0,0.08679534155204836
2023-11-25,104919.13002928889,104919.13002928889,0,0.0,0.08679534155204836
2023-11-26,104919.13002928889,104919.13002928889,0,0.0,0.08679534155204836
2023-11-27,104919.13002928889,104919.13002928889,0,0.0,0.08679534155204836
2023-11-28,104919.13002928889,104919.13002928889,0,0.0,0.08679534155204836
2023-11-29,104919.13002928889,104919.13002928889,0,0.0,0.08679534155204836
2023-11-30,104919.13002928889,104919.13002928889,0,0.0,0.08679534155204836
2023-12-01,104919.13002928889,104919.13002928889,0,0.0,0.08679534155204836
2023-12-02,104919.13002928889,104919.13002928889,0,0.0,0.08679534155204836
2023-12-03,104919.13002928889,104919.13002928889,0,0.0,0.08679534155204836
2023-12-04,104919.13002928889,104919.13002928889,0,0.0,0.08679534155204836
2023-12-05,104919.13002928889,104919.13002928889,0,0.0,0.08679534155204836
2023-12-06,104919.13002928889,104919.13002928889,0,0.0,0.08679534155204836
2023-12-07,104919.13002928889,104919.13002928889,0,0.0,0.08679534155204836
2023-12-08,104919.13002928889,104919.13002928889,0,0.0,0.08679534155204836
2023-12-09,104919.13002928889,104919.13002928889,0,0.0,0.08679534155204836
2023-12-10,104919.13002928889,104919.13002928889,0,0.0,0.08679534155204836
2023-12-11,104919.13002928889,104919.13002928889,0,0.0,0.08679534155204836
2023-12-12,104919.13002928889,104919.13002928889,0,0.0,0.08679534155204836
2023-12-13,104919.13002928889,104919.13002928889,0,0.0,0.08679534155204836
2023-12-14,104919.13002928889,104919.13002928889,0,0.0,0.08679534155204836
2023-12-15,104919.13002928889,104919.13002928889,0,0.0,0.08679534155204836
2023-12-16,104919.13002928889,104919.13002928889,0,0.0,0.08679534155204836
2023-12-17,104919.13002928889,104919.13002928889,0,0.0,0.08679534155204836
2023-12-18,104919.13002928889,104919.13002928889,0,0.0,0.08679534155204836
2023-12-19,104919.13002928889,104919.13002928889,0,0.0,0.08679534155204836
2023-12-20,104919.13002928889,104919.13002928889,0,0.0,0.08679534155204836
2023-12-21,104919.13002928889,104919.13002928889,0,0.0,0.08679534155204836
2023-12-22,104919.13002928889,104919.13002928889,0,0.0,0.08679534155204836
2023-12-23,104919.13002928889,104919.13002928889,0,0.0,0.08679534155204836
2023-12-24,104919.13002928889,104919.13002928889,0,0.0,0.08679534155204836
